id,prediction
0,7.5283127
1,6.9519434
2,5.5517306
3,49.217667
4,322.64084
5,1081.4222
6,2148.48
7,3017.6543
8,3604.4287
9,3541.8647
10,3532.1533
11,3374.8167
12,2845.7036
13,2827.9656
14,2430.6746
15,2081.1812
16,1569.0565
17,722.1058
18,253.1716
19,9.773485
20,0.0
21,0.0
22,1.5211391
23,1.9906529
24,7.279061
25,6.946402
26,9.345675
27,162.6435
28,630.00903
29,1413.2625
30,2517.5107
31,2972.7766
32,3642.3303
33,3858.143
34,3753.6235
35,3863.8372
36,3997.3303
37,3369.1309
38,2809.632
39,2452.5217
40,1227.754
41,486.55814
42,311.48175
43,83.91459
44,13.766707
45,10.821678
46,17.85768
47,0.0
48,0.0
49,0.0
50,0.0
51,122.11282
52,254.72003
53,327.8024
54,184.48343
55,368.0454
56,505.77396
57,692.6767
58,3396.58
59,4089.0503
60,4386.3125
61,4030.17
62,2413.5403
63,2505.411
64,891.0909
65,743.61847
66,375.48178
67,83.57246
68,0.0
69,0.0
70,0.0
71,15.891875
72,8.485801
73,3.8387825
74,15.033705
75,164.77333
76,451.74173
77,1230.9036
78,2129.5303
79,2701.581
80,3462.9434
81,3188.1333
82,3309.7627
83,3034.3394
84,3339.9216
85,3488.9468
86,3066.719
87,2443.1572
88,1463.4917
89,482.4444
90,304.60892
91,70.17419
92,0.0
93,0.0
94,0.0
95,4.201033
96,2.3393087
97,4.3420963
98,47.788666
99,282.43268
100,465.07983
101,1537.7535
102,2770.2095
103,2969.0483
104,4234.0327
105,4656.144
106,4493.4316
107,4468.3296
108,4219.777
109,3622.2112
110,3213.8044
111,2436.5115
112,2412.753
113,1198.9963
114,567.8138
115,203.42761
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,70.54685
124,220.0842
125,610.2814
126,767.4394
127,3271.9456
128,3975.8438
129,4077.8806
130,3743.4966
131,2963.2886
132,2921.0295
133,2869.2288
134,3507.6418
135,2562.5757
136,1886.874
137,1025.6016
138,467.7901
139,168.39114
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,73.09123
148,201.82388
149,323.2464
150,485.7453
151,1164.2893
152,1972.7866
153,3875.8618
154,4577.0894
155,4545.5044
156,4191.258
157,3849.2769
158,3361.8171
159,2930.0437
160,1879.0145
161,910.94055
162,485.57153
163,216.26797
164,21.002523
165,3.3215914
166,0.0
167,0.6848089
168,0.0
169,0.0
170,16.389923
171,82.577866
172,168.34195
173,260.44083
174,294.9864
175,421.35403
176,736.3223
177,869.68134
178,1566.9529
179,2432.4358
180,3484.4749
181,2388.1816
182,2496.9634
183,1979.7832
184,1197.4221
185,547.99945
186,377.30014
187,178.58606
188,25.697392
189,1.2576437
190,0.4508736
191,19.020473
192,9.924894
193,3.2177901
194,46.986156
195,161.98987
196,411.73892
197,986.89
198,1609.0164
199,2140.2344
200,2196.4253
201,2841.5215
202,3183.9468
203,2638.8987
204,3189.1956
205,3404.3203
206,2745.649
207,1817.5679
208,1073.6902
209,618.0955
210,287.7719
211,71.11866
212,4.842317
213,0.0
214,0.0
215,0.0
216,3.3131323
217,4.99452
218,45.452423
219,112.22626
220,215.1392
221,418.6308
222,898.6548
223,2252.8533
224,2301.4849
225,2361.064
226,2138.486
227,1935.754
228,1539.2661
229,1359.2097
230,936.85034
231,803.85767
232,543.7564
233,398.81232
234,280.3003
235,76.82911
236,19.517715
237,3.2776785
238,15.056638
239,10.761933
240,0.93955356
241,2.0652032
242,38.874943
243,145.55075
244,383.56262
